Date,E Fund (HK) Select Asia HY Bd A HKD Inc
10/30/19,100.0
10/31/19,99.85
11/1/19,99.76
11/2/19,99.76
11/3/19,99.76
11/4/19,99.84
11/5/19,99.78
11/6/19,99.6
11/7/19,99.68
11/8/19,99.7
11/9/19,99.7
11/10/19,99.7
11/11/19,99.78
11/12/19,99.79
11/13/19,99.83
11/14/19,99.9
11/15/19,99.94
11/16/19,99.94
11/17/19,99.94
11/18/19,99.88
11/19/19,99.88
11/20/19,99.79
11/21/19,99.64
11/22/19,99.77
11/23/19,99.77
11/24/19,99.77
11/25/19,99.95
11/26/19,99.99
11/27/19,99.27
11/28/19,99.32
11/29/19,99.18
11/30/19,99.18
12/1/19,99.18
12/2/19,99.12
12/3/19,98.41
12/4/19,98.34
12/5/19,98.26
12/6/19,98.25
12/7/19,98.25
12/8/19,98.25
12/9/19,98.01
12/10/19,97.83
12/11/19,97.65
12/12/19,97.72
12/13/19,98.06
12/14/19,98.06
12/15/19,98.06
12/16/19,98.21
12/17/19,98.29
12/18/19,98.36
12/19/19,98.53
12/20/19,98.83
12/21/19,98.83
12/22/19,98.83
12/23/19,98.8
12/24/19,98.21
12/25/19,98.21
12/26/19,98.21
12/27/19,98.26
12/28/19,98.26
12/29/19,98.26
12/30/19,98.36
12/31/19,98.4
1/1/20,98.4
1/2/20,98.85
1/3/20,99.08
1/4/20,99.08
1/5/20,99.08
1/6/20,99.12
1/7/20,99.3
1/8/20,99.3
1/9/20,99.33
1/10/20,99.33
1/11/20,99.33
1/12/20,99.33
1/13/20,99.53
1/14/20,99.6
1/15/20,99.55
1/16/20,99.64
1/17/20,99.75
1/18/20,99.75
1/19/20,99.75
1/20/20,99.74
1/21/20,99.77
1/22/20,99.87
1/23/20,99.1
1/24/20,99.17
1/25/20,99.17
1/26/20,99.17
1/27/20,99.17
1/28/20,99.17
1/29/20,99.03
1/30/20,98.58
1/31/20,98.62
2/1/20,98.62
2/2/20,98.62
2/3/20,97.87
2/4/20,98.01
2/5/20,98.21
2/6/20,98.43
2/7/20,98.46
2/8/20,98.46
2/9/20,98.46
2/10/20,98.47
2/11/20,98.47
2/12/20,98.69
2/13/20,98.71
2/14/20,98.87
2/15/20,98.87
2/16/20,98.87
2/17/20,98.89
2/18/20,98.97
2/19/20,99.01
2/20/20,99.08
2/21/20,99.14
2/22/20,99.14
2/23/20,99.14
2/24/20,98.92
2/25/20,98.02
2/26/20,97.89
2/27/20,97.51
2/28/20,96.95
2/29/20,96.95
3/1/20,96.95
3/2/20,96.74
3/3/20,97.03
3/4/20,97.22
3/5/20,97.31
3/6/20,96.89
3/7/20,96.89
3/8/20,96.89
3/9/20,94.91
3/10/20,94.65
3/11/20,94.09
3/12/20,92.42
3/13/20,91.02
3/14/20,91.02
3/15/20,91.02
3/16/20,88.41
3/17/20,85.71
3/18/20,82.81
3/19/20,80.02
3/20/20,80.2
3/21/20,80.2
3/22/20,80.2
3/23/20,78.96
3/24/20,79.58
3/25/20,81.02
3/26/20,82.64
3/27/20,83.48
3/28/20,83.48
3/29/20,83.48
3/30/20,82.97
3/31/20,83.17
4/1/20,82.88
4/2/20,82.94
4/3/20,83.03
4/4/20,83.03
4/5/20,83.03
4/6/20,83.41
4/7/20,84.1
4/8/20,84.5
4/9/20,85.36
4/10/20,85.36
4/11/20,85.36
4/12/20,85.36
4/13/20,85.36
4/14/20,86.97
4/15/20,87.35
4/16/20,87.43
4/17/20,87.74
4/18/20,87.74
4/19/20,87.74
4/20/20,87.73
4/21/20,87.19
4/22/20,86.65
4/23/20,86.8
4/24/20,86.19
4/25/20,86.19
4/26/20,86.19
4/27/20,86.26
4/28/20,86.41
4/29/20,86.81
4/30/20,86.81
5/1/20,86.81
5/2/20,86.81
5/3/20,86.81
5/4/20,87.0
5/5/20,87.3
5/6/20,87.29
5/7/20,87.51
5/8/20,87.75
5/9/20,87.75
5/10/20,87.75
5/11/20,88.35
5/12/20,88.83
5/13/20,88.67
5/14/20,88.52
5/15/20,88.75
5/16/20,88.75
5/17/20,88.75
5/18/20,88.97
5/19/20,89.51
5/20/20,89.98
5/21/20,90.45
5/22/20,90.34
5/23/20,90.34
5/24/20,90.34
5/25/20,90.34
5/26/20,89.92
5/27/20,90.1
5/28/20,90.17
5/29/20,89.99
5/30/20,89.99
5/31/20,89.99
6/1/20,90.1
6/2/20,90.37
6/3/20,91.1
6/4/20,91.44
6/5/20,92.09
6/6/20,92.09
6/7/20,92.09
6/8/20,92.75
6/9/20,92.71
6/10/20,92.64
6/11/20,92.24
6/12/20,92.02
6/13/20,92.02
6/14/20,92.02
6/15/20,91.83
6/16/20,92.33
6/17/20,92.49
6/18/20,92.47
6/19/20,92.64
6/20/20,92.64
6/21/20,92.64
6/22/20,92.68
6/23/20,92.85
6/24/20,92.18
6/25/20,92.18
6/26/20,92.12
6/27/20,92.12
6/28/20,92.12
6/29/20,92.01
6/30/20,91.96
7/1/20,91.96
7/2/20,92.27
7/3/20,92.34
7/4/20,92.34
7/5/20,92.34
7/6/20,92.8
7/7/20,92.88
7/8/20,92.84
7/9/20,92.69
7/10/20,92.54
7/11/20,92.54
7/12/20,92.54
7/13/20,92.6
7/14/20,92.52
7/15/20,92.75
7/16/20,92.85
7/17/20,92.99
7/18/20,92.99
7/19/20,92.99
7/20/20,93.22
7/21/20,93.58
7/22/20,93.97
7/23/20,94.12
7/24/20,93.4
7/25/20,93.4
7/26/20,93.4
7/27/20,93.41
7/28/20,93.43
7/29/20,93.47
7/30/20,93.46
7/31/20,93.52
8/1/20,93.52
8/2/20,93.52
8/3/20,93.63
8/4/20,93.85
8/5/20,94.06
8/6/20,94.24
8/7/20,94.31
8/8/20,94.31
8/9/20,94.31
8/10/20,94.46
8/11/20,94.68
8/12/20,94.8
8/13/20,94.83
8/14/20,94.79
8/15/20,94.79
8/16/20,94.79
8/17/20,94.83
8/18/20,94.82
8/19/20,94.85
8/20/20,94.83
8/21/20,94.91
8/22/20,94.91
8/23/20,94.91
8/24/20,95.05
8/25/20,94.46
8/26/20,94.53
8/27/20,94.6
8/28/20,94.78
8/29/20,94.78
8/30/20,94.78
8/31/20,94.89
9/1/20,95.09
9/2/20,95.33
9/3/20,95.36
9/4/20,95.22
9/5/20,95.22
9/6/20,95.22
9/7/20,95.24
9/8/20,95.1
9/9/20,94.98
9/10/20,95.0
9/11/20,94.96
9/12/20,94.96
9/13/20,94.96
9/14/20,94.96
9/15/20,94.92
9/16/20,94.99
9/17/20,94.92
9/18/20,94.93
9/19/20,94.93
9/20/20,94.93
9/21/20,94.63
9/22/20,94.45
9/23/20,94.37
9/24/20,94.04
9/25/20,92.96
9/26/20,92.96
9/27/20,92.96
9/28/20,92.77
9/29/20,92.82
9/30/20,92.99
10/1/20,92.99
10/2/20,92.99
10/3/20,92.99
10/4/20,92.99
10/5/20,93.29
10/6/20,93.53
10/7/20,93.61
10/8/20,93.82
10/9/20,93.95
10/10/20,93.95
10/11/20,93.95
10/12/20,93.99
10/13/20,93.99
10/14/20,93.97
10/15/20,93.73
10/16/20,93.71
10/17/20,93.71
10/18/20,93.71
10/19/20,93.78
10/20/20,93.76
10/21/20,93.82
10/22/20,93.79
10/23/20,93.11
10/24/20,93.11
10/25/20,93.11
10/26/20,93.11
10/27/20,93.16
10/28/20,93.0
10/29/20,92.91
10/30/20,92.83
10/31/20,92.83
11/1/20,92.83
11/2/20,92.85
11/3/20,93.12
11/4/20,93.47
